Name,embedded setpoint,mutable setpoint,"mutable kp,ki.kd",generic typing,anti-windup,output-limit,Deadband,no_std,library/binary,Documentation,Statistics,CI,crates.io,tests,Plot,benches,Examples,RK4 Integrator,URL
pid-rs,yes,yes,yes,primitives,yes,yes,no,yes,library,yes,no,yes,yes,yes,no,no,yes,no,https://github.com/braincore/pid-rs
pid_control-rs,yes,yes,yes,no,yes,yes,no,yes,library,yes,no,no,yes,no,no,no,no,no,https://github.com/mbr/pid_control-rs
pid-balancer,yes,yes,yes,no,no,yes,no,no,binary,no,no,no,no,no,yes,no,no,no,https://github.com/sparshg/pid-balancer
pid-lite,yes,yes,yes,no,no,no,no,yes,library,yes,no,yes,yes,yes,no,no,yes,no,https://github.com/yoshuawuyts/pid-lite
idsp,yes,no,no,full,yes,yes,no,yes,library,yes,no,yes,yes,yes,no,no,yes,no,https://github.com/quartiq/idsp
pidgeon,yes,yes,yes,no,yes,yes,yes,no,library,yes,yes,yes,yes,yes,yes,yes,yes,no,https://github.com/security-union/pidgeon
pid-loop,no,yes,no,full,no,no,no,yes,library,yes,no,no,yes,no,no,no,yes,no,https://github.com/dotcypress/pid-loop
piddiy,yes,yes,yes,full,no,no,no,yes,library,yes,no,no,yes,no,no,no,yes,no,https://github.com/sgeos/piddiy
discrete_pid,no,yes,yes,full,no,yes,no,no,library,yes,no,yes,yes,yes,no,yes,yes,yes,https://github.com/Hs293Go/discrete_pid
rusty-pid,yes,no,yes,no,no,yes,no,yes,binary,no,no,no,no,no,no,no,no,no,https://github.com/daschl/rusty-pid
PIDController,yes,yes,yes,no,no,yes,no,no,library,no,no,no,no,yes,no,no,no,no,https://github.com/josh-tracey/PIDController
pid,yes,yes,yes,no,no,no,no,yes,library,no,no,no,no,no,no,no,no,no,https://github.com/Michael-F-Bryan/pid
pid-crtl,yes,yes,yes,full,no,yes,no,yes,library,no,no,no,yes,yes,no,no,yes,no,https://github.com/Iraeis/pid-ctrl
rust-pid-controller,yes,yes,yes,no,no,yes,no,no,library,no,no,no,no,yes,no,no,yes,no,https://github.com/sctg-development/rust-pid-controller
